subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,stimulus_onset_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,vibration_device,trial_interrupted,timestamp
franc,1,1,107,VT,1,fast,narrow,D4,574268.685,574268.685,574965.247,575076.862,575216.024,575466.792,574965.247,575285.906,320.7,None,0,2026-07-10T15:16:16.7850855+02:00
franc,1,1,108,T,1,slow,narrow,D1,578781.947,,,,,,581788.765,582095.116,306.4,None,0,2026-07-10T15:16:21.6034422+02:00
franc,1,1,109,VT,1,fast,wide,D2,583599.044,583599.044,584295.573,584420.751,584546.265,584796.687,584546.265,585883.152,1336.9,None,0,2026-07-10T15:16:26.1137231+02:00
franc,1,1,110,VT,1,slow,wide,D5,588109.808,588109.808,589808.231,590156.145,590532.570,591311.818,589474.845,590226.180,751.3,None,0,2026-07-10T15:16:30.8334551+02:00
franc,1,1,111,VT,1,fast,narrow,D6,592828.604,592828.604,593525.029,593650.044,593775.784,594026.165,593288.602,593663.926,375.3,None,0,2026-07-10T15:16:35.3435183+02:00
franc,1,1,112,VT,1,slow,narrow,D5,597339.199,597339.199,599037.879,599385.490,599761.855,600527.767,598703.603,599093.540,389.9,None,0,2026-07-10T15:16:40.0628458+02:00
franc,1,1,113,VT,1,slow,narrow,D4,602059.510,602059.510,603757.779,604106.130,604482.238,605248.389,603757.779,604050.569,292.8,None,0,2026-07-10T15:16:44.7832581+02:00
franc,1,1,114,VT,1,fast,wide,D4,606779.445,606779.445,607475.185,607600.508,607726.105,607976.585,607475.185,607851.326,376.1,None,0,2026-07-10T15:16:49.2944532+02:00
franc,1,1,115,T,1,fast,wide,D1,611289.803,,,,,,612291.994,611888.405,-403.6,None,0,2026-07-10T15:16:53.8042975+02:00
franc,1,1,116,VT,1,fast,wide,D3,615800.601,615800.601,616496.512,616621.845,616747.247,616997.688,616621.845,616942.190,320.3,None,0,2026-07-10T15:16:58.3148212+02:00
franc,1,1,117,V,0,slow,wide,,620311.157,620311.157,622009.742,622357.594,622733.266,623513.150,,,,None,0,2026-07-10T15:17:03.0344070+02:00
franc,1,1,118,VT,1,fast,wide,D5,625030.793,625030.793,625727.568,625852.506,625977.166,626227.922,625615.631,626046.974,431.3,None,0,2026-07-10T15:17:07.5448059+02:00
franc,1,1,119,V,0,fast,wide,,629541.345,629541.345,630237.744,630349.380,630488.429,630738.765,,,,None,0,2026-07-10T15:17:12.0562875+02:00
franc,1,1,120,V,0,fast,narrow,,634052.326,634052.326,634747.927,634873.424,634998.754,635249.413,,,,None,0,2026-07-10T15:17:16.5665991+02:00
franc,1,1,121,VT,1,slow,wide,D1,638562.764,638562.764,640261.456,640609.232,640985.175,641751.002,641751.002,642127.493,376.5,None,0,2026-07-10T15:17:21.6406975+02:00
franc,1,1,122,VT,1,slow,narrow,D7,643630.425,643630.425,645328.471,645676.604,646052.853,646818.704,643839.516,644215.142,375.6,None,0,2026-07-10T15:17:26.3544250+02:00
franc,1,1,123,T,1,slow,narrow,D6,648349.786,,,,,,649129.332,649463.851,334.5,None,0,2026-07-10T15:17:30.8649258+02:00
franc,1,1,124,VT,1,fast,narrow,D2,652861.158,652861.158,653557.903,653669.799,653807.775,654058.413,653807.775,654127.645,319.9,None,0,2026-07-10T15:17:35.3757440+02:00
franc,1,1,125,VT,1,fast,wide,D6,657371.930,657371.930,658067.414,658193.581,658317.888,658568.882,657831.386,658164.992,333.6,None,0,2026-07-10T15:17:39.8856613+02:00
franc,1,1,126,VT,1,slow,narrow,D5,661882.534,661882.534,663581.527,663929.239,664304.715,665070.940,663246.836,667854.564,4607.7,None,0,2026-07-10T15:17:47.3679945+02:00
franc,1,1,127,V,0,slow,wide,,669358.433,669358.433,671057.177,671405.111,671781.283,672546.989,,,,None,0,2026-07-10T15:17:52.0816762+02:00
franc,1,1,128,VT,1,slow,narrow,D3,674078.302,674078.302,675776.553,676124.547,676500.562,677280.156,676124.547,679006.529,2882.0,None,0,2026-07-10T15:17:58.5149549+02:00
franc,1,1,129,VT,1,fast,narrow,D3,680510.025,680510.025,681205.949,681331.133,681457.040,681707.188,681331.133,681638.075,306.9,None,0,2026-07-10T15:18:03.0253592+02:00
franc,1,1,130,V,0,fast,wide,,685021.459,685021.459,685717.487,685842.713,685968.092,686218.444,,,,None,0,2026-07-10T15:18:07.5358984+02:00
franc,1,1,131,T,1,slow,narrow,D7,689532.290,,,,,,689532.290,694195.443,4663.2,None,0,2026-07-10T15:18:13.7070077+02:00
franc,1,1,132,VT,1,slow,narrow,D1,695699.263,695699.263,697398.285,697746.053,698122.035,698887.667,698887.667,699180.073,292.4,None,0,2026-07-10T15:18:18.6883869+02:00
franc,1,1,133,VT,1,fast,wide,D5,700683.906,700683.906,701380.481,701505.876,701631.337,701881.729,701268.889,701589.455,320.6,None,0,2026-07-10T15:18:23.1991287+02:00
franc,1,1,134,VT,1,fast,narrow,D3,705196.196,705196.196,705904.831,706015.048,706140.422,706390.888,706015.048,706419.112,404.1,None,0,2026-07-10T15:18:27.7082488+02:00
franc,1,1,135,VT,1,fast,narrow,D7,709704.812,709704.812,710400.642,710526.029,710651.511,710901.937,709913.672,710289.588,375.9,None,0,2026-07-10T15:18:32.2195335+02:00
franc,1,1,136,VT,1,fast,narrow,D5,714215.236,714215.236,714911.692,715037.092,715162.053,715412.588,714799.894,715245.654,445.8,None,0,2026-07-10T15:18:36.7301051+02:00
franc,1,1,137,T,1,fast,wide,D2,718725.872,,,,,,719477.985,719811.871,333.9,None,0,2026-07-10T15:18:41.2406996+02:00
franc,1,1,138,T,1,fast,wide,D4,723236.913,,,,,,723738.427,724100.297,361.9,None,0,2026-07-10T15:18:45.7510626+02:00
franc,1,1,139,VT,1,fast,wide,D3,727747.624,727747.624,728443.799,728569.059,728694.197,728944.890,728569.059,728847.329,278.3,None,0,2026-07-10T15:18:50.2620013+02:00
franc,1,1,140,VT,1,fast,narrow,D1,732259.050,732259.050,732955.153,733080.799,733205.905,733456.773,733456.773,733720.698,263.9,None,0,2026-07-10T15:18:54.7740255+02:00
franc,1,2,1,V,0,slow,narrow,,747851.260,747851.260,749549.467,749897.606,750273.356,751039.155,,,,None,0,2026-07-10T15:19:10.5741982+02:00
franc,1,2,2,VT,1,slow,wide,D6,752570.411,752570.411,754269.165,754617.731,754993.091,755758.783,753545.151,753809.981,264.8,None,0,2026-07-10T15:19:15.2936415+02:00
franc,1,2,3,T,1,slow,narrow,D7,757290.272,,,,,,757290.272,761940.698,4650.4,None,0,2026-07-10T15:19:21.4532668+02:00
franc,1,2,4,VT,1,fast,wide,D7,763443.939,763443.939,764139.865,764265.654,764390.575,764641.115,763653.279,764014.840,361.6,None,0,2026-07-10T15:19:25.9585907+02:00
franc,1,2,5,T,1,slow,wide,D2,767953.975,,,,,,770182.064,770502.096,320.0,None,0,2026-07-10T15:19:30.4691655+02:00
franc,1,2,6,T,1,slow,narrow,D5,772465.302,,,,,,773635.099,774011.019,375.9,None,0,2026-07-10T15:19:34.9942108+02:00
franc,1,2,7,V,0,slow,wide,,776990.039,776990.039,778688.833,779036.677,779412.880,780179.005,,,,None,0,2026-07-10T15:19:39.7141500+02:00
franc,1,2,8,VT,1,fast,narrow,D1,781710.522,781710.522,782406.889,782531.641,782657.095,782908.073,782908.073,783256.485,348.4,None,0,2026-07-10T15:19:44.2246672+02:00
franc,1,2,9,V,0,slow,narrow,,786220.902,786220.902,787919.913,788267.816,788644.245,789408.954,,,,None,0,2026-07-10T15:19:48.9439514+02:00
franc,1,2,10,VT,1,slow,narrow,D2,790940.637,790940.637,792639.409,792987.657,793363.698,794129.630,793363.698,793614.552,250.9,None,0,2026-07-10T15:19:53.6643620+02:00
franc,1,2,11,T,1,fast,narrow,D6,795660.397,,,,,,795925.272,796287.648,362.4,None,0,2026-07-10T15:19:58.1747588+02:00
franc,1,2,12,V,1,fast,wide,,800171.390,800171.390,800867.410,800992.687,801118.001,801368.417,,800630.623,,None,0,2026-07-10T15:20:02.6852795+02:00
franc,1,2,13,VT,1,fast,narrow,D2,804681.701,804681.701,805378.047,805503.433,805628.921,805879.391,805628.921,805879.391,250.5,None,0,2026-07-10T15:20:07.1966430+02:00
franc,1,2,14,VT,1,fast,wide,D4,809192.609,809192.609,809888.912,810014.676,810140.138,810390.081,809888.912,810223.087,334.2,None,0,2026-07-10T15:20:11.7070809+02:00
franc,1,2,15,VT,1,slow,wide,D7,813703.172,813703.172,815401.216,815749.516,816125.605,816891.423,813911.135,814538.036,626.9,None,0,2026-07-10T15:20:16.4274024+02:00
franc,1,2,16,VT,1,slow,narrow,D4,818423.353,818423.353,820121.196,820469.211,820845.044,821611.275,820121.196,821471.859,1350.7,None,0,2026-07-10T15:20:21.1464863+02:00
franc,1,2,17,VT,1,fast,wide,D3,823143.089,823143.089,823839.117,823964.208,824090.131,824364.772,823964.208,824243.309,279.1,None,0,2026-07-10T15:20:25.6586853+02:00
