subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,stimulus_onset_ms,position_D7_ms,position_D6_ms,position_D5_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,vibration_device,trial_interrupted,timestamp
theo,1,1,82,T,1,fast,narrow,D4,346844.513,,,,,,,,,347345.557,347610.329,264.8,None,0,2026-07-09T15:23:19.5107116+02:00
theo,1,1,83,VT,1,slow,narrow,D3,350561.324,350561.324,350561.324,351201.951,351521.901,351800.998,352092.862,352412.915,353053.507,352092.862,352399.155,306.3,None,0,2026-07-09T15:23:23.2271736+02:00
theo,1,1,84,VT,1,slow,narrow,D1,354278.722,354278.722,354278.722,354919.333,355239.345,355517.684,355810.237,356130.364,356770.425,356770.425,357049.382,279.0,None,0,2026-07-09T15:23:27.2101788+02:00
theo,1,1,85,VT,1,slow,narrow,D5,358260.605,358260.605,358260.605,358900.994,359221.513,359500.058,359792.442,360112.609,360753.528,359221.513,359514.360,292.8,None,0,2026-07-09T15:23:30.9273709+02:00
theo,1,1,86,VT,1,slow,narrow,D6,361977.920,361977.920,361977.920,362618.358,362938.742,363217.029,363509.416,363829.571,364470.369,362618.358,362966.884,348.5,None,0,2026-07-09T15:23:34.6436856+02:00
theo,1,1,87,VT,1,fast,narrow,D4,365695.234,365695.234,365695.234,365946.164,366070.949,366182.712,366308.013,366433.224,366683.608,366182.712,366461.333,278.6,None,0,2026-07-09T15:23:38.3614483+02:00
theo,1,1,88,T,1,fast,narrow,D1,369412.461,,,,,,,,,370414.380,370693.042,278.7,None,0,2026-07-09T15:23:42.0785366+02:00
theo,1,1,89,T,1,fast,narrow,D1,373129.391,,,,,,,,,374131.604,374396.520,264.9,None,0,2026-07-09T15:23:45.7953347+02:00
theo,1,1,90,VT,1,slow,narrow,D3,376846.697,376846.697,376846.697,377487.425,377807.533,378086.391,378378.835,378699.203,379339.483,378378.835,378643.376,264.5,None,0,2026-07-09T15:23:49.5134860+02:00
theo,1,1,91,V,0,slow,narrow,,380564.466,380564.466,380564.466,381204.863,381525.355,381803.504,382095.919,382415.840,383056.319,,,,None,0,2026-07-09T15:23:53.2303121+02:00
theo,1,1,92,V,0,slow,narrow,,384281.307,384281.307,384281.307,384921.958,385241.997,385520.336,385812.865,386133.113,386773.306,,,,None,0,2026-07-09T15:23:56.9470724+02:00
theo,1,1,93,VT,1,slow,narrow,D2,387998.399,387998.399,387998.399,388639.103,388959.097,389237.595,389530.137,389849.929,390490.521,389849.929,390198.186,348.3,None,0,2026-07-09T15:24:00.6642071+02:00
theo,1,1,94,T,1,slow,narrow,D6,391715.360,,,,,,,,,392369.849,392717.828,348.0,None,0,2026-07-09T15:24:04.3951655+02:00
theo,1,1,95,VT,1,slow,narrow,D1,395446.206,395446.206,395446.206,396086.647,396406.660,396684.942,396977.585,397297.753,397937.965,397937.965,398185.404,247.4,None,0,2026-07-09T15:24:08.3461894+02:00
theo,1,1,96,VT,1,slow,narrow,D7,399386.374,399386.374,399386.374,400026.401,400346.715,400625.383,400917.863,401237.789,401878.180,399386.374,403326.223,3939.8,None,0,2026-07-09T15:24:13.4870247+02:00
theo,1,1,97,VT,1,fast,narrow,D4,404537.117,404537.117,404537.117,404787.883,404912.898,405024.570,405149.844,405275.074,405525.650,405024.570,405344.723,320.2,None,0,2026-07-09T15:24:17.2033567+02:00
theo,1,1,98,VT,1,fast,narrow,D2,408254.279,408254.279,408254.279,408517.588,408630.111,408741.662,408866.925,408992.147,409242.652,408992.147,409298.559,306.4,None,0,2026-07-09T15:24:20.9203944+02:00
theo,1,1,99,T,1,fast,narrow,D6,411971.652,,,,,,,,,412236.115,412583.902,347.8,None,0,2026-07-09T15:24:24.6371599+02:00
theo,1,1,100,V,0,fast,narrow,,415689.248,415689.248,415689.248,415939.379,416064.948,416175.989,416301.459,416426.596,416677.266,,,,None,0,2026-07-09T15:24:28.3547547+02:00
theo,1,1,101,T,1,fast,narrow,D2,419406.008,,,,,,,,,420157.674,420450.317,292.6,None,0,2026-07-09T15:24:32.0716500+02:00
theo,1,1,102,VT,1,slow,narrow,D3,423123.125,423123.125,423123.125,423763.711,424083.666,424362.240,424654.774,424975.357,425615.621,424654.774,424919.172,264.4,None,0,2026-07-09T15:24:35.7896326+02:00
theo,1,1,103,T,1,slow,narrow,D3,426841.172,,,,,,,,,428386.610,428735.368,348.8,None,0,2026-07-09T15:24:39.5210127+02:00
theo,1,1,104,VT,1,slow,narrow,D5,430572.318,430572.318,430572.318,431212.694,431533.017,431810.863,432103.552,432423.391,433063.792,431533.017,431852.951,319.9,None,0,2026-07-09T15:24:43.2375198+02:00
theo,1,1,105,VT,1,fast,narrow,D4,434289.010,434289.010,434289.010,434539.850,434665.057,434776.389,434901.714,435027.121,435277.709,434776.389,435124.578,348.2,None,0,2026-07-09T15:24:46.9547171+02:00
theo,1,1,106,VT,1,fast,narrow,D2,438006.612,438006.612,438006.612,438257.485,438382.819,438494.386,438619.455,438744.956,438995.423,438744.956,439037.144,292.2,None,0,2026-07-09T15:24:50.6727609+02:00
theo,1,1,107,T,1,fast,narrow,D6,441724.465,,,,,,,,,441988.378,442350.834,362.5,None,0,2026-07-09T15:24:54.3903947+02:00
theo,1,1,108,T,1,fast,narrow,D4,445441.238,,,,,,,,,445942.320,446262.527,320.2,None,0,2026-07-09T15:24:58.1074090+02:00
theo,1,1,109,VT,1,fast,narrow,D2,449158.365,449158.365,449158.365,449408.662,449534.076,449645.453,449757.748,449896.454,450147.119,449896.454,450174.865,278.4,None,0,2026-07-09T15:25:01.8251782+02:00
theo,1,1,110,VT,1,fast,narrow,D2,452875.964,452875.964,452875.964,,453310.905,453362.743,453488.305,453613.668,453863.841,453613.668,453905.808,292.1,None,0,2026-07-09T15:25:05.5414971+02:00
theo,1,1,111,VT,1,slow,narrow,D3,456593.382,456593.382,456593.382,457233.778,457554.046,457832.771,458124.805,458444.786,459085.348,458124.805,458500.847,376.0,None,0,2026-07-09T15:25:09.2589914+02:00
theo,1,1,112,T,1,slow,narrow,D6,460310.450,,,,,,,,,460964.696,461285.315,320.6,None,0,2026-07-09T15:25:12.9903490+02:00
theo,1,1,113,VT,1,slow,narrow,D5,464041.098,464041.098,464041.098,464681.331,465001.657,465280.113,465572.269,465892.425,466533.274,465001.657,465365.612,364.0,None,0,2026-07-09T15:25:16.7071271+02:00
theo,1,1,114,T,1,slow,narrow,D7,467758.016,,,,,,,,,467758.016,468384.489,626.5,None,0,2026-07-09T15:25:20.4234007+02:00
theo,1,1,115,VT,1,fast,narrow,D6,471474.345,471474.345,471474.345,471725.115,471850.198,471961.497,472087.007,472212.308,472462.747,471725.115,472031.140,306.0,None,0,2026-07-09T15:25:24.1412989+02:00
theo,1,1,116,VT,1,fast,narrow,D1,475191.723,475191.723,475191.723,475442.341,475567.579,475679.214,475804.435,475929.676,476180.318,476180.318,476444.741,264.4,None,0,2026-07-09T15:25:27.8573990+02:00
theo,1,1,117,VT,1,fast,narrow,D7,478908.792,478908.792,478908.792,479159.359,479284.537,479395.905,479521.396,479646.689,479897.253,478908.792,479604.926,696.1,None,0,2026-07-09T15:25:31.5744489+02:00
theo,1,1,118,VT,1,slow,narrow,D1,482625.872,482625.872,482625.872,483266.228,483586.642,483865.045,484157.452,484477.857,485118.393,485118.393,485480.595,362.2,None,0,2026-07-09T15:25:35.6420710+02:00
theo,1,1,119,VT,1,slow,narrow,D6,486691.319,486691.319,486691.319,487331.916,487651.816,487930.618,488222.408,488542.787,489183.429,487331.916,487721.486,389.6,None,0,2026-07-09T15:25:39.3574815+02:00
theo,1,1,120,T,1,slow,narrow,D6,490409.146,,,,,,,,,491063.372,491398.004,334.6,None,0,2026-07-09T15:25:43.0895570+02:00
theo,1,1,121,T,1,fast,narrow,D5,494139.705,,,,,,,,,494530.166,494808.168,278.0,None,0,2026-07-09T15:25:46.8062276+02:00
theo,1,1,122,T,1,fast,narrow,D5,497857.309,,,,,,,,,498247.156,498512.095,264.9,None,0,2026-07-09T15:25:50.5237164+02:00
theo,1,1,123,VT,1,fast,narrow,D1,501574.892,501574.892,501574.892,501825.999,501950.699,502062.322,502187.417,502312.683,502563.344,502563.344,502842.056,278.7,None,0,2026-07-09T15:25:54.2415189+02:00
theo,1,1,124,VT,1,slow,narrow,D2,505292.113,505292.113,505292.113,505932.450,506252.691,506531.020,506823.815,507143.756,507784.000,507143.756,507463.952,320.2,None,0,2026-07-09T15:25:57.9583386+02:00
theo,1,1,125,T,1,slow,narrow,D1,509009.039,,,,,,,,,511514.797,511876.998,362.2,None,0,2026-07-09T15:26:02.0387062+02:00
theo,1,1,126,VT,1,slow,narrow,D7,513088.241,513088.241,513088.241,513728.443,514048.587,514327.075,514619.421,514939.522,515579.834,513088.241,513477.993,389.8,None,0,2026-07-09T15:26:05.7535291+02:00
theo,1,1,127,VT,1,fast,narrow,D6,516804.802,516804.802,516804.802,517055.592,517180.474,517292.060,517417.614,517542.747,517793.066,517055.592,517528.365,472.8,None,0,2026-07-09T15:26:09.4712903+02:00
theo,1,1,128,VT,1,fast,narrow,D2,520521.745,520521.745,520521.745,520772.168,520897.147,521008.942,521120.296,521259.613,521510.354,521259.613,521566.028,306.4,None,0,2026-07-09T15:26:13.1891334+02:00
theo,1,1,129,VT,1,fast,narrow,D7,524239.829,524239.829,524239.829,524490.583,524615.867,524727.492,524852.315,524977.749,525228.334,524239.829,524810.741,570.9,None,0,2026-07-09T15:26:16.9065742+02:00
theo,1,1,130,VT,1,slow,narrow,D2,527957.156,527957.156,527957.156,528597.728,528917.947,529196.530,529488.793,529808.762,530448.982,529808.762,530142.796,334.0,None,0,2026-07-09T15:26:20.6233450+02:00
theo,1,1,131,T,1,slow,narrow,D5,531674.454,,,,,,,,,532648.511,533135.490,487.0,None,0,2026-07-09T15:26:24.3544153+02:00
theo,1,1,132,T,1,slow,narrow,D7,535405.002,,,,,,,,,535405.002,535850.738,445.7,None,0,2026-07-09T15:26:28.0714438+02:00
theo,1,1,133,T,1,slow,narrow,D7,539122.371,,,,,,,,,539122.371,539456.739,334.4,None,0,2026-07-09T15:26:31.7887050+02:00
theo,1,1,134,VT,1,slow,narrow,D2,542839.348,542839.348,542839.348,543479.650,543800.349,544078.522,544370.725,544691.396,545331.902,544691.396,544969.610,278.2,None,0,2026-07-09T15:26:35.5063187+02:00
theo,1,1,135,VT,1,slow,narrow,D6,546557.057,546557.057,546557.057,547197.445,547517.618,547795.969,548088.458,548408.416,549048.682,547197.445,547517.618,320.2,None,0,2026-07-09T15:26:39.2231094+02:00
theo,1,1,136,T,1,slow,narrow,D5,550273.799,,,,,,,,,551248.363,551499.085,250.7,None,0,2026-07-09T15:26:42.9536139+02:00
theo,1,1,137,VT,1,fast,narrow,D1,554005.211,554005.211,554005.211,554255.656,554381.005,554492.126,554617.840,554742.890,554993.425,554993.425,555246.463,253.0,None,0,2026-07-09T15:26:46.6722344+02:00
theo,1,1,138,V,0,fast,narrow,,557722.727,557722.727,557722.727,557973.293,558098.759,558210.079,558337.061,558460.698,558710.702,,,,None,0,2026-07-09T15:26:50.3891391+02:00
theo,1,1,139,T,1,fast,narrow,D7,561439.854,,,,,,,,,561439.854,562038.895,599.0,None,0,2026-07-09T15:26:54.1062100+02:00
theo,1,1,140,T,1,slow,narrow,D2,565157.173,,,,,,,,,567022.248,567328.358,306.1,None,0,2026-07-09T15:26:57.8367255+02:00
